     Index                                              Tweet                                              Match                            Polarity
         1                                      Im not dat...                                     [skinny, cold]                            Negative
         2                                      RT @loverg...                                       [cold, well]                             Neutral
         4                                      RT @sm63: ...      [like, astounded, wins, spite, lack, support]                            Positive
         5                                      @michele_o...                                       [warm, cold]                             Neutral
         6                                      RT @lovema...                                    [playful, cold]                             Neutral
         7                                      RT @nfloyd...                                             [cold]                            Negative
         9                                      @loveusapn...                                             [cold]                            Negative
        10                                      RT @RussW0...                                  [beautiful, cold]                             Neutral
        11                                      RT @tiwoon...                                             [cold]                            Negative
        12                                      RT @Jennif...                                             [cold]                            Negative
        14                                      RT @jeeeli...                                             [cold]                            Negative
        19                                      RT @Immort...                                    [bastard, cold]                            Negative
        20                                      RT @Sohrab...                                            [trust]                            Positive
        23                                      RT @sm63: ...      [like, astounded, wins, spite, lack, support]                            Positive
        25                                      @alpha_def...                                              [lag]                            Negative
        26                                      RT @Blacke...                                             [cold]                            Negative
        27                                      @chamomeri...                                    [burning, cold]                            Negative
        28                                      RT @jeeeli...                                             [cold]                            Negative
        29                                      Its extrem...                                             [cold]                            Negative
        31                                      Its cold t...                                       [cold, bust]                            Negative
        33                                      RT @NickAd...                                   [freezing, cold]                            Negative
        34                                      @VCUAthlet...                                             [cold]                            Negative
        35                                      RT @BTStra...                                 [pleasantly, cold]                             Neutral
        36                                      baby im th...                                  [hot, shit, cold]                            Negative
        37                                      ahhh i sho...                                             [cold]                            Negative
        39                                      RT @janine...                                             [cold]                            Negative
        40                                      RT @JoeyDe...                      [cute, miserably, cold, love]                             Neutral
        41                                      RT @loverg...                                       [cold, well]                             Neutral
        43                                      RT @supeRE...                                             [cold]                            Negative
        46                                      RT @Gorill...                                   [freezing, cold]                            Negative
        47                                      RT @jeeeli...                                             [cold]                            Negative
        51                                      just got u...                                             [cold]                            Negative
        52                                      RT @Iisari...                                [skill, like, hate]                            Positive
        53                                      RT @loverg...                                       [cold, well]                             Neutral
        54                                      RT @jeeeli...                                             [cold]                            Negative
        57                                      My mama on...                                      [stuck, cold]                            Negative
        58                                      RT @btsqts...                                             [love]                            Positive
        59                                      RT @LALewm...                                  [disloyal, loyal]                             Neutral
        60                                      My cold tr...                                             [cold]                            Negative
        62                                      the street...                                             [cold]                            Negative
        63                                      what an aw...                                             [cold]                            Negative
        64                                      Now, it wa...                                  [cold, infection]                            Negative
        67                                      My brother...                          [cold, like, break, fast]                             Neutral
        68                                      "Saturday ...                                       [cold, joke]                            Negative
        70                                      RT @btsqts...                                             [love]                            Positive
        71                                      RT @stussy...                                             [cold]                            Negative
        72                                      RT @linger...                                              [hot]                            Positive
        76                                      RT @miiniy...                                      [thank, cold]                             Neutral
        78                                      RT @miiniy...                                      [thank, cold]                             Neutral
        79                                      RT @zeeraa...                                             [cold]                            Negative
        80                                      RT @jSeolh...                                             [cold]                            Negative
        84                                      RT @janine...                                             [cold]                            Negative
        86                                      RT @jeeeli...                                             [cold]                            Negative
        87                                      RT @jSeolh...                                             [cold]                            Negative
        89                                      RT @AnonOp...                           [catastrophe, suffering]                            Negative
        90                                      I had a do...                                             [cold]                            Negative
        93                                      I just wan...                                             [cold]                            Negative
        94                                      RT @Thakur...                                   [cold, darkness]                            Negative
        96                                      RT @jeeeli...                                             [cold]                            Negative
        99                                      RT @linger...                                              [hot]                            Positive
       100                                      Another be...                          [beautiful, cold, strong]                            Positive
       101                                      Im not dat...                                     [skinny, cold]                            Negative
       102                                      RT @loverg...                                       [cold, well]                             Neutral
       104                                      RT @sm63: ...      [like, astounded, wins, spite, lack, support]                            Positive
       105                                      @michele_o...                                       [warm, cold]                             Neutral
